Address,PropertyUse,XCoord,YCoord,K12_est,K-12_by_point
7240 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7244 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7318 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.0022796607328438813,68.00000000000024
7354 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7358 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7376 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7378 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7380 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7382 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7400 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7402 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7404 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7406 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7410 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7412 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7414 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7416 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7418 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7420 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7422 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7336 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7338 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7340 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7342 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7344 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7346 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7348 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7350 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7360 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7362 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7364 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7366 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7368 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7356 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7352 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7246 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7316 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7248 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7250 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7252 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7254 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7256 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7258 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7260 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7262 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7264 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7266 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7268 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7270 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7272 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7274 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7486 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7488 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7490 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7492 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7494 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7496 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7498 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
7302 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7304 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7306 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7308 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7310 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7312 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7314 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.45821180730162,68.00000000000024
7424 Old Sauk Rd,Condominium,786954.41839006,483340.75371697,0.6861778805860081,68.00000000000024
6513 Nesbitt Rd,Vacant,791150.90680504,456144.03076277,57.00000000000001,57.00000000000001
2333 Carling Dr Unit 4,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2337 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2329 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,0.5629718478797712,43.13702109645097
2329 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,0.5629718478797712,43.13702109645097
2309 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2309 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2309 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2313 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2313 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2313 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,1.6777675862555554,43.13702109645097
2317 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2317 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,1.6777675862555554,43.13702109645097
2317 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,1.6777675862555554,43.13702109645097
2317 Carling Dr Unit 4,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2321 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2321 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2321 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,1.6777675862555554,43.13702109645097
2333 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2329 Carling Dr Unit 4,Condominium,800650.9166867,465776.52581326,0.5629718478797712,43.13702109645097
2329 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,0.5629718478797712,43.13702109645097
2333 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2325 Carling Dr Unit 4,Condominium,800650.9166867,465776.52581326,1.6777675862555554,43.13702109645097
2337 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2337 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2337 Carling Dr Unit 4,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2341 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2341 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2341 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,0.005573978691878922,43.13702109645097
2341 Carling Dr Unit 4,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
