"GEO_ID","NAME","P012001","P012002","P012003","P012004","P012005","P012006","P012007","P012008","P012009","P012010","P012011","P012012","P012013","P012014","P012015","P012016","P012017","P012018","P012019","P012020","P012021","P012022","P012023","P012024","P012025","P012026","P012027","P012028","P012029","P012030","P012031","P012032","P012033","P012034","P012035","P012036","P012037","P012038","P012039","P012040","P012041","P012042","P012043","P012044","P012045","P012046","P012047","P012048","P012049"
"id","Geographic Area Name","Total","Total!!Male","Total!!Male!!Under 5 years","Total!!Male!!5 to 9 years","Total!!Male!!10 to 14 years","Total!!Male!!15 to 17 years","Total!!Male!!18 and 19 years","Total!!Male!!20 years","Total!!Male!!21 years","Total!!Male!!22 to 24 years","Total!!Male!!25 to 29 years","Total!!Male!!30 to 34 years","Total!!Male!!35 to 39 years","Total!!Male!!40 to 44 years","Total!!Male!!45 to 49 years","Total!!Male!!50 to 54 years","Total!!Male!!55 to 59 years","Total!!Male!!60 and 61 years","Total!!Male!!62 to 64 years","Total!!Male!!65 and 66 years","Total!!Male!!67 to 69 years","Total!!Male!!70 to 74 years","Total!!Male!!75 to 79 years","Total!!Male!!80 to 84 years","Total!!Male!!85 years and over","Total!!Female","Total!!Female!!Under 5 years","Total!!Female!!5 to 9 years","Total!!Female!!10 to 14 years","Total!!Female!!15 to 17 years","Total!!Female!!18 and 19 years","Total!!Female!!20 years","Total!!Female!!21 years","Total!!Female!!22 to 24 years","Total!!Female!!25 to 29 years","Total!!Female!!30 to 34 years","Total!!Female!!35 to 39 years","Total!!Female!!40 to 44 years","Total!!Female!!45 to 49 years","Total!!Female!!50 to 54 years","Total!!Female!!55 to 59 years","Total!!Female!!60 and 61 years","Total!!Female!!62 to 64 years","Total!!Female!!65 and 66 years","Total!!Female!!67 to 69 years","Total!!Female!!70 to 74 years","Total!!Female!!75 to 79 years","Total!!Female!!80 to 84 years","Total!!Female!!85 years and over"
"1000000US550250001001015","Block 1015, Block Group 1, Census Tract 1, Dane County, Wisconsin","36","17","1","1","1","0","0","0","0","1","1","0","3","1","1","0","2","0","1","1","0","1","0","0","2","19","1","2","2","0","0","0","0","0","2","1","1","2","1","0","1","2","0","0","0","2","0","0","2"
"1000000US550250001001016","Block 1016, Block Group 1, Census Tract 1, Dane County, Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US550250001001017","Block 1017, Block Group 1, Census Tract 1, Dane County, Wisconsin","55","28","1","0","0","0","0","0","0","4","5","2","0","1","7","2","2","0","1","1","0","1","0","1","0","27","0","0","0","0","0","0","0","2","7","3","5","1","1","1","5","1","0","0","0","1","0","0","0"
"1000000US550250001001018","Block 1018, Block Group 1, Census Tract 1, Dane County, Wisconsin","29","16","1","2","0","3","0","0","0","0","1","3","0","1","0","2","2","0","1","0","0","0","0","0","0","13","1","1","0","0","0","0","0","0","2","1","0","2","0","2","0","2","0","1","0","1","0","0","0"
"1000000US550250001001019","Block 1019, Block Group 1, Census Tract 1, Dane County, Wisconsin","162","63","6","4","2","1","1","0","1","0","15","9","3","1","1","5","6","2","4","0","0","2","0","0","0","99","5","6","2","3","4","2","0","10","18","14","4","3","6","7","4","4","2","1","1","0","2","0","1"
"1000000US550250001001020","Block 1020, Block Group 1, Census Tract 1, Dane County, Wisconsin","49","26","1","0","0","0","1","1","2","1","8","2","1","1","2","1","3","0","1","0","0","0","1","0","0","23","0","0","0","1","1","1","0","4","3","4","2","1","1","0","3","0","0","1","0","1","0","0","0"
"1000000US550250001002000","Block 2000, Block Group 2, Census Tract 1, Dane County, Wisconsin","128","65","1","1","2","3","0","0","0","1","2","3","3","1","5","8","10","2","6","1","3","3","5","2","3","63","1","1","2","2","0","1","0","2","0","3","2","1","5","10","5","5","6","1","0","4","4","5","3"
"1000000US550250001002001","Block 2001, Block Group 2, Census Tract 1, Dane County, Wisconsin","93","45","6","2","1","0","0","0","0","4","14","6","3","1","4","0","0","1","2","0","1","0","0","0","0","48","7","4","0","1","0","1","1","12","12","3","3","1","0","1","0","1","1","0","0","0","0","0","0"
"1000000US550250001002002","Block 2002, Block Group 2, Census Tract 1, Dane County, Wisconsin","229","125","8","6","8","4","0","0","1","5","11","9","13","8","20","10","13","1","4","0","1","0","0","2","1","104","9","7","2","3","1","0","2","6","7","13","7","10","6","13","7","0","1","1","2","0","2","2","3"
"1000000US550250001002003","Block 2003, Block Group 2, Census Tract 1, Dane County, Wisconsin","81","37","1","2","1","1","0","0","0","1","5","2","2","5","1","4","1","1","0","3","1","0","5","0","1","44","6","3","2","0","0","0","0","2","3","6","3","2","4","1","2","0","0","2","0","3","5","0","0"
